Auto Rifles,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick Value,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Khvostov 7G-02,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,25,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,70,32,48,Vanilla,TBA,,,,
Sahara-AR3,N/A,None,16,13,900,0.80/0.86,0.93/1.00,12/13,15/16,1.25x,63,N/A,1x,1.5x,2.35-2.56,0.27-0.30,Rapid,48,32,58,Vanilla,TBA,,,,
Shingen-C,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,34,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,73,22,49,Vanilla,TBA,,,,
Cydonia AR3,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,28,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,59,33,49,Vanilla,TBA,,,,
Cydonia AR3,N/A,Focus Fire,33,27,300,1.20,1.40,7,8,1.25x,28,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,59,33,49,Vanilla,TBA,,,,
Forcing Function,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,63,N/A,1x,1.5x,2.35-2.56,0.27-0.30,Rapid,60,50,64,Vanilla,TBA,,,,
Shingen-E,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,34,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,68,30,61,Vanilla,TBA,,,,
Silvered Hushwind-D,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,32,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,78,35,50,Vanilla,TBA,,,,
Deep Fox T76,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,34,N/A,1x,1.5x,2.25-2.45,0.232-0.264,Lightweight,60,62,57,Vanilla,TBA,,,,
Galahad-E,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,30,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,61,50,51,Vanilla,TBA,,,,
Suros CGB-47,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,28,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,79,44,33,Vanilla,TBA,,,,
Surrender A,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,28,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,65,38,37,Vanilla,TBA,,,,
Galahad-E,N/A,Focus Fire,33,27,300,1.20,1.40,7,8,1.25x,30,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,61,50,51,Vanilla,TBA,,,,
Unwilling Soul-09,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,72,N/A,1x,1.5x,2.35-2.56,0.27-0.31,Rapid,47,45,68,Vanilla,The Dark Below,,,,
Doctor Nope,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,72,N/A,1x,1.5x,2.35-2.56,0.27-0.32,Rapid,50,45,79,Vanilla,The Dark Below,,,,
Atheon's Epilogue,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,70,N/A,1x,1.5x,2.35-2.56,0.27-0.33,Rapid,56,49,82,Vanilla,The Dark Below,,,,
Silmar's Wrath,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,66,N/A,1x,1.5x,2.35-2.56,0.27-0.34,Rapid,53,55,74,Vanilla,TBA,,,,
